sku,asin,product_name,unit_cost,inbound_shipping_per_unit
93-FA12-PMQ5,B099S8YG2F,NAQSH Multicolor Handmade Braided Rugs - (3 Feet; Multi Fancy Jute+Cotton),,
B0B56WV67X,B0B56TDBJL,NAQSH Outdoor Indoor Plastic Rug with Loops - Foldable Reversible Outdoors Waterproof and Washable Patios Garden Decor (Stripe Green & Blue; 4 x 6 ft),,
B7-LBCY-VCM2,B092W6LYYM,NAQSH Outdoor Indoor Plastic Rug - Foldable Reversible Outdoors Waterproof and Washable Patios Garden Decor (Mirchi Kali Navy Blue; 3 x 5 ft),,
BK-3S16-4SV9,B092W6LYYM,NAQSH Outdoor Indoor Plastic Rug - Foldable Reversible Outdoors Waterproof and Washable Patios Garden Decor (Mirchi Kali Navy Blue; 3 x 5 ft),,
Colgate Toothbrush PO4,B010V82ZD0,Colgate Slim Soft Charcoal Toothbrush 17x Slimmer Soft Tip Bristles (Buy 2 Get 2),,
FG-2F35-W25S,B0CJFQK31R,"NAQSH Dish Towels for Kitchen Cotton Towel Set Printed Multi Purpose Reusable Dish Cloths (Pack of 3) (20"" x 27.5""; Rose Butterfly Peach)",,
HD-AOQD-TK0S,B0C5SXGX5G,NAQSH Outdoor Indoor Plastic Rug - Foldable Reversible Outdoors Waterproof and Washable Patios Garden Decor; Size (5x8 Feet; Earthy),,
NAQSH_123,B0C9QNKB7L,Healing Crystal,,
NIVEA Lip Care,B07Y91BMSK,NIVEA Lip Care; Fruity Tinted Lip Balm Variety Pack; Cherry; Strawberry; Blackberry and Watermelon Flavors; 3-in-1 Moisture; Repair and Color; 0.17 Oz Stick; Pack of 4,,
NQ - 7 Chakra Gift Set,B0CLH3YFM9,NAQSH 22-piece Healing Stones 7 Raw & 7 Tumbled Stones; Bracelet; Wands; Pyramids; Cones; Pendant; Palo Santo Sticks; Pocket Angels (7 Chakra Gift Set),,
NQ - Luck Catalyst Gift Set,B0CLH34C2H,NAQSH 22-Piece Healing Stones 7 Raw & 7 Tumbled Stones; Bracelet; Wands; Pyramids; Cones; Pendant; Palo Santo Sticks; Pocket Angels (Luck Catalyst Gift Set),,
NQ - Meditative Bliss Gift Set,B0CLH6DH1H,NAQSH 22-piece Healing Stones 7 Raw & 7 Tumbled Stones; Bracelet; Wands; Pyramids; Cones; Pendant; Palo Santo Sticks; Pocket Angels (Meditative Bliss Gift Set),,
NQ - Protection Cloak Gift Set,B0CLH3Y4HQ,NAQSH 22-piece Healing Stones 7 Raw & 7 Tumbled Stones; Bracelet; Wands; Pyramids; Cones; Pendant; Palo Santo Sticks; Pocket Angels (Protection Cloak Gift Set),,
NQ -5X8 PB PM002 Loops,B09GPSQZNL,NAQSH Outdoor Indoor Plastic Rug with Loops - Foldable Reversible Outdoors Waterproof and Washable Patios Garden Decor (Peacock Blue; 5 x 8 ft),,
NQ -MP Marble Blue,B0CJYGJV5R,NAQSH Wooden Incense Holder Tray for Sticks - Incense Burner Holder - Incense for Table Decorations and Boho Gifts (Marble Blue),,
NQ -SKIP BO CARD GAME,B00006YYY5,Mattel Games; Skip-BO Card Games for Ages +7; Card sequencying Family Game from UNO Creators; 52370,,
NQ UNO PO1 -GXE,B00GTJSGXE,Mattel Games UNO: Classic Card Game,,
NQ- (10X7+5X7) Flower+Celtic Tree,B0BK3S4T9N,NAQSH Leather Journal Combo of 2 (10x7 Flower & 5x7 Celtic Tree Handmade Leather Journal |Writers Notebook | Travel Diary With Blank Pages | Gift For Him Her (Size 10x7 Flower+ 5x7 Celtic Tree),,
NQ- (10X7+5X7) Mandala+Celtic tree,B0BK3RYF8H,NAQSH Leather Journal Combo of 2 10x7 Mandala & 5x7 Celtic Tree Handmade Vintage Leather Journal | Writers Notebook (Size 10x7 Mandala & 5x7 Celtic Tree),,
NQ- 10X7 Celtic Tree + Flower,B0BK3STJKT,NAQSH Leather Journal 10x7 Combo of 2 Celtic Tree & Flower Handmade Vintage Leather Journal | Writers Notebook Gift For Him Her (Size 10x7; Celtic Tree+Flower),,
NQ- 10X7 World Map+Mandala,B0BK3R85G2,NAQSH Leather Journal 10x7 Combo of 2 World Map+Mandala Handmade Vintage Leather Journal | Writers Notebook Gift For Her him (Size 10x7; World Map +Mandala),,
NQ- 10x7 Celtic Tree,B09CQ9ZPQJ,NAQSH Handmade Unlined Leather Journal - Vintage Writing Journal For Men And Women; Gift For Him Her; Travel Diary With Blank Pages; Large Notebook; 180 Pages (Size 10x7 Celtic Tree),,
NQ- 10x7 Celtic Tree Pack of 2,B0BK3RFHZ8,NAQSH Pack of 2 Handmade Unlined Leather Journal - Vintage Writing Journal For Men And Women; Gift For Him Her; Travel Diary With Blank Pages; Large Notebook; 180 Pages (Size 10x7 Celtic Tree),,
